ags,name,lon,lat
01001000,Flensburg,9.4375,54.7825
01002000,Kiel,10.1373,54.3218
01003000,Lübeck,10.6839,53.8663
01004000,Neumünster,9.9884,54.0699
01051011,Brunsbüttel,9.1374,53.8969
01051044,Heide,9.0912,54.194
01051003,Averlak,9.1827,53.9412
01051010,Brickeln,9.2212,54.0085
01051012,Buchholz (Dithmarschen),9.2238,53.9871
01051016,Burg (Dithmarschen),9.2625,53.9975
01051022,Dingen,9.1258,53.9609
01051024,Eddelak,9.1374,53.9459
01051026,Eggstedt,9.2593,54.0545
01051032,Frestedt,9.1758,54.0236
01051037,Großenrade,9.2234,54.0221
01051051,Hochdonn,9.2931,54.0196
01051064,Kuden,9.1928,53.9679
01051089,Quickborn (Dithmarschen),9.2066,54.01
01051097,Sankt Michaelisdonn,9.1221,53.9944
01051110,Süderhastedt,9.2089,54.0499
01051021,Diekhusen-Fahrstedt,9.0232,53.9462
01051034,Friedrichskoog,8.8801,54.0058
01051046,Helse,9.0102,53.9776
01051057,Kaiser-Wilhelm-Koog,8.9264,53.9429
01051062,Kronprinzenkoog,8.9645,53.9717
01051072,Marne,9.0088,53.9537
01051073,Marnerdeich,8.983,53.9485
01051076,Neufeld,9.019,53.9072
01051077,Neufelderkoog,8.9688,53.907
01051090,Ramhusen,9.0907,53.9412
01051103,Schmedeswurth,9.0403,53.9262
01051118,Trennewurth,9.0258,54.0002
01051119,Volsemenhusen,9.0656,53.9679
01051005,Barkenholm,9.1743,54.2374
01051008,Bergewöhrden,9.2094,54.3185
01051019,Dellstedt,9.3691,54.2379
01051020,Delve,9.2524,54.304
01051023,Dörpling,9.3019,54.2607
01051030,Fedderingen,9.1326,54.2811
01051035,Gaushorn,9.2253,54.1949
01051036,Glüsing,9.2164,54.2745
01051038,Groven,8.9891,54.3002
01051047,Hemme,9.011,54.2802
01051049,Hennstedt (Dithmarschen),9.1682,54.2836
01051052,Hövede,9.2934,54.2438
01051053,Hollingstedt (Dithmarschen),9.2268,54.2905
01051058,Karolinenkoog,8.9655,54.2926
01051060,Kleve (Dithmarschen),9.1232,54.2957
01051061,Krempel,9.0276,54.32
01051065,Lehe (Dithmarschen),9.0253,54.3442
01051068,Linden (Dithmarschen),9.1824,54.2526
01051071,Lunden,9.0242,54.3306
01051080,Norderheistedt,9.1461,54.2453
01051088,Pahlen,9.2964,54.2678
01051092,Rehm-Flehde-Bargen,9.0363,54.304
01051096,Sankt Annen,9.0798,54.3454
01051100,Schalkholz,9.257,54.2462
01051102,Schlichting,9.0894,54.3101
01051114,Tellingstedt,9.2822,54.2199
01051117,Tielenhemme,9.3984,54.2775
01051120,Wallen,9.2696,54.2848
01051125,Welmbüttel,9.2468,54.1969
01051131,Westerborstel,9.2606,54.2201
01051133,Wiemerstedt,9.1111,54.2693
01051136,Wrohm,9.3795,54.2126
01051139,Süderdorf,9.3437,54.2207
01051141,Süderheistedt,9.1485,54.2348
01051048,Hemmingstedt,9.0721,54.1475
01051067,Lieth,9.0608,54.1553
01051069,Lohe-Rickelshof,9.0656,54.1877
01051075,Neuenkirchen (Dithmarschen),8.9879,54.2356
01051081,Norderwöhrden,9.0002,54.1928
01051082,Nordhastedt,9.183,54.172
01051087,Ostrohe,9.1308,54.214
01051107,Stelle-Wittenwurth,9.0668,54.2544
01051113,Wöhrden,8.9945,54.1655
01051122,Weddingstedt,9.0889,54.2393
01051130,Wesseln,9.0754,54.2083
01051001,Albersdorf (Dithmarschen),9.284,54.1466
01051002,Arkebek,9.2504,54.1602
01051004,Bargenstedt,9.1442,54.0956
01051006,Barlt,9.058,54.0124
01051015,Bunsoh,9.3202,54.1655
01051017,Busenwurth,9.0413,54.0414
01051027,Elpersbüttel,9.0472,54.073
01051028,Epenwöhrden,9.0529,54.1128
01051039,Gudendorf,9.1082,54.0247
01051054,Immenstedt (Dithmarschen),9.2997,54.1807
01051063,Krumstedt,9.178,54.0687
01051074,Meldorf,9.0688,54.0909
01051078,Nindorf (Dithmarschen),9.1149,54.0867
01051083,Odderade,9.1908,54.1394
01051085,Offenbüttel,9.358,54.1692
01051086,Osterrade,9.3533,54.1902
01051098,Sarzbüttel,9.184,54.1188
01051099,Schafstedt,9.2937,54.0799
01051104,Schrum,9.2517,54.1872
01051126,Wennbüttel,9.3225,54.1386
01051134,Windbergen,9.1178,54.045
01051135,Wolmersdorf,9.104,54.0771
01051137,Nordermeldorf,9.0137,54.1121
01051138,Tensbüttel-Röst,9.2286,54.1057
01051013,Büsum,8.8596,54.1303
01051014,Büsumer Deichhausen,8.8901,54.1362
01051033,Friedrichsgabekoog,8.9411,54.1575
01051043,Hedwigenkoog,8.841,54.178
01051045,Hellschen-Heringsand-Unterschaar,8.8729,54.1945
01051050,Hillgroven,8.8749,54.2279
01051079,Norddeich,8.9,54.218
01051084,Oesterdeichstrich,8.9006,54.1589
01051093,Reinsbüttel,8.9111,54.1791
01051105,Schülp,8.9299,54.242
01051108,Strübbel,8.9718,54.2604
01051109,Süderdeich,8.9113,54.2017
01051121,Warwerort,8.9217,54.1412
01051127,Wesselburen,8.9207,54.2122
01051128,Wesselburener Deichhausen,8.9372,54.1749
01051129,Wesselburenerkoog,8.8765,54.2394
01051132,Westerdeichstrich,8.8635,54.162
01051140,Oesterwurth,8.9913,54.211
01053032,Geesthacht,10.3718,53.4336
01053083,Lauenburg/Elbe,10.5543,53.3742
01053090,Mölln (Herzogtum Lauenburg),10.691,53.6295
01053100,Ratzeburg,10.7745,53.699
01053116,Schwarzenbek,10.4777,53.5026
01053129,Wentorf bei Hamburg,10.2519,53.491
01053008,Behlendorf,10.6678,53.6995
01053009,Berkenthin,10.6382,53.7345
01053011,Bliestorf,10.6025,53.7688
01053024,Düchelsdorf,10.5804,53.7371
01053034,Göldenitz,10.6315,53.722
01053061,Kastorf,10.5701,53.7489
01053067,Klempau,10.6604,53.7629
01053075,Krummesse,10.642,53.7801
01053094,Niendorf bei Berkenthin,10.6262,53.7024
01053103,Rondeshagen,10.6297,53.7536
01053120,Sierksrade,10.6003,53.7366
01053002,Alt-Mölln,10.6582,53.6228
01053005,Bälau,10.6217,53.6164
01053013,Borstorf,10.5642,53.6131
01053014,Breitenfelde,10.633,53.6051
01053037,Grambek,10.6807,53.574
01053056,Hornbek,10.6485,53.5589
01053084,Lehmrade,10.7527,53.5947
01053095,Niendorf/Stecknitz,10.6092,53.5872
01053113,Schretstaken,10.5393,53.5865
01053125,Talkau,10.5687,53.5769
01053134,Woltersdorf (Herzogtum Lauenburg),10.6402,53.5769
01053010,Besenthal,10.7432,53.5301
01053015,Bröthen,10.667,53.4803
01053020,Büchen,10.6165,53.4809
01053029,Fitzen,10.6467,53.4939
01053035,Göttin,10.7034,53.5337
01053046,Gudow,10.7722,53.5553
01053048,Güster,10.6806,53.5395
01053064,Klein Pampau,10.5867,53.5127
01053080,Langenlehsten,10.7405,53.4999
01053092,Müssen,10.5625,53.4943
01053104,Roseburg,10.6242,53.5305
01053115,Schulendorf,10.5618,53.4733
01053119,Siebeneichen,10.6187,53.5108
01053126,Tramm (Herzogtum Lauenburg),10.6147,53.5632
01053132,Witzeeze,10.6101,53.4527
01053003,Aumühle,10.3135,53.5286
01053012,Börnsen,10.2856,53.4767
01053023,Dassendorf,10.3727,53.4886
01053028,Escheburg,10.3094,53.4671
01053050,Hamwarde,10.4214,53.4528
01053053,Hohenhorn,10.3676,53.4757
01053072,Kröppelshagen-Fahrendorf,10.3152,53.4886
01053131,Wiershop,10.4519,53.4425
01053133,Wohltorf,10.2913,53.5173
01053135,Worth,10.4084,53.4675
01053006,Basedow (Herzogtum Lauenburg),10.5836,53.4162
01053019,Buchhorst,10.5683,53.385
01053022,Dalldorf,10.6105,53.4355
01053058,Juliusburg,10.5065,53.4172
01053073,Krüzen,10.5271,53.4015
01053074,Krukow,10.4782,53.4189
01053082,Lanze,10.6044,53.3863
01053087,Lütau,10.5454,53.4359
01053111,Schnakenbek,10.5002,53.3854
01053128,Wangelau,10.5466,53.4537
01053001,Albsfelde,10.6945,53.68
01053004,Bäk,10.7871,53.7163
01053016,Brunsmark,10.7502,53.6171
01053018,Buchholz (Herzogtum Lauenburg),10.7454,53.7314
01053026,Einhaus,10.7257,53.7141
01053030,Fredeburg,10.7273,53.6743
